,locale,partition,utt,tokens
36,tr-TR,train,olly çin yemeği için en yüksek puanlı teslimat opsiyonları,"['olly', 'çin', 'yemeği', 'için', 'en', 'yüksek', 'puanlı', 'teslimat', 'opsiyonları']"
37,tr-TR,train,paket servis köri istiyorum tavsiyen var mı,"['paket', 'servis', 'köri', 'istiyorum', 'tavsiyen', 'var', 'mı']"
38,tr-TR,train,köri almak istiyorum herhangi bir öneri olly,"['köri', 'almak', 'istiyorum', 'herhangi', 'bir', 'öneri', 'olly']"
39,tr-TR,train,benim migros tan pizza paket siparişimi bul,"['benim', 'migros', 'tan', 'pizza', 'paket', 'siparişimi', 'bul']"
40,tr-TR,train,sabah yedi alarmını durdur,"['sabah', 'yedi', 'alarmını', 'durdur']"
41,tr-TR,train,lütfen aktif alarmları listele,"['lütfen', 'aktif', 'alarmları', 'listele']"
42,tr-TR,train,bugün futbolda neler oluyor,"['bugün', 'futbolda', 'neler', 'oluyor']"
43,tr-TR,train,lütfen beatlesdan yesterday oynat,"['lütfen', 'beatlesdan', 'yesterday', 'oynat']"
44,tr-TR,train,rock müziği seviyorum,"['rock', 'müziği', 'seviyorum']"
45,tr-TR,train,favori müzik grubum mfö,"['favori', 'müzik', 'grubum', 'mfö']"
46,tr-TR,train,favorilerden müzik çalmaya başla,"['favorilerden', 'müzik', 'çalmaya', 'başla']"
47,tr-TR,train,lütfen benim en iyi müziğimi çal,"['lütfen', 'benim', 'en', 'iyi', 'müziğimi', 'çal']"
48,tr-TR,train,şu anki müziğin yazarı kim,"['şu', 'anki', 'müziğin', 'yazarı', 'kim']"
49,tr-TR,train,şu anki müzik hangi albümden,"['şu', 'anki', 'müzik', 'hangi', 'albümden']"
50,tr-TR,train,olly bu şarkıyı cidden çok seviyorum,"['olly', 'bu', 'şarkıyı', 'cidden', 'çok', 'seviyorum']"
51,tr-TR,train,senin çaldığın şarkı harika,"['senin', 'çaldığın', 'şarkı', 'harika']"
52,tr-TR,train,bu benim için en iyi şarkılardan biri,"['bu', 'benim', 'için', 'en', 'iyi', 'şarkılardan', 'biri']"
53,tr-TR,train,ışıkları daha parlak yap,"['ışıkları', 'daha', 'parlak', 'yap']"
54,tr-TR,train,lütfen ışıkları maksimuma getir,"['lütfen', 'ışıkları', 'maksimuma', 'getir']"
55,tr-TR,train,hey robot süpürgeyi başlat,"['hey', 'robot', 'süpürgeyi', 'başlat']"
56,tr-TR,train,temizlik robotunu çalıştır,"['temizlik', 'robotunu', 'çalıştır']"
57,tr-TR,train,lütfen akşam yemeği için suşi söyle,"['lütfen', 'akşam', 'yemeği', 'için', 'suşi', 'söyle']"
58,tr-TR,train,hey senden burger siparişi vermeni istiyorum,"['hey', 'senden', 'burger', 'siparişi', 'vermeni', 'istiyorum']"
59,tr-TR,train,çiya'dan akşam yemeği için paket servisi sipariş edebilir miyim,"[""çiya'dan"", 'akşam', 'yemeği', 'için', 'paket', 'servisi', 'sipariş', 'edebilir', 'miyim']"
60,tr-TR,train,byron's paket servisini destekliyor mu,"[""byron's"", 'paket', 'servisini', 'destekliyor', 'mu']"
61,tr-TR,train,on ikiye alarm kur,"['on', 'ikiye', 'alarm', 'kur']"
62,tr-TR,train,kırk dakika sonraya alarm kur,"['kırk', 'dakika', 'sonraya', 'alarm', 'kur']"
63,tr-TR,train,hafta içi her gün saat sekize alarm kur,"['hafta', 'içi', 'her', 'gün', 'saat', 'sekize', 'alarm', 'kur']"
64,tr-TR,train,yağmur yağıyor mu,"['yağmur', 'yağıyor', 'mu']"
65,tr-TR,train,yağmur yağacak mı,"['yağmur', 'yağacak', 'mı']"
66,tr-TR,train,şu anda kar yağıyor mu,"['şu', 'anda', 'kar', 'yağıyor', 'mu']"
67,tr-TR,train,bu hafta hava nasıl,"['bu', 'hafta', 'hava', 'nasıl']"
68,tr-TR,train,b. b. c. haberlerini söyle,"['b.', 'b.', 'c.', 'haberlerini', 'söyle']"
69,tr-TR,train,b. b. c. haberlerde haberler nedir,"['b.', 'b.', 'c.', 'haberlerde', 'haberler', 'nedir']"
70,tr-TR,train,halk tv'nin en son haberleri ne,"['halk', ""tv'nin"", 'en', 'son', 'haberleri', 'ne']"
71,tr-TR,train,benim sevdiğim şarkıyı çal,"['benim', 'sevdiğim', 'şarkıyı', 'çal']"
72,tr-TR,train,sezen aksu çal,"['sezen', 'aksu', 'çal']"
73,tr-TR,train,biraz mor ve ötesi çal,"['biraz', 'mor', 've', 'ötesi', 'çal']"
74,tr-TR,train,bu oynatma listesini karıştır,"['bu', 'oynatma', 'listesini', 'karıştır']"
75,tr-TR,train,ne çalıyor,"['ne', 'çalıyor']"
76,tr-TR,train,bu müzik nedir,"['bu', 'müzik', 'nedir']"
77,tr-TR,train,bana bu şarkının sanatçısını söyle,"['bana', 'bu', 'şarkının', 'sanatçısını', 'söyle']"
78,tr-TR,train,beni güldür,"['beni', 'güldür']"
79,tr-TR,train,olly beni güldür,"['olly', 'beni', 'güldür']"
80,tr-TR,train,bana iyi bir fıkra anlat,"['bana', 'iyi', 'bir', 'fıkra', 'anlat']"
81,tr-TR,train,bana bir espri yap,"['bana', 'bir', 'espri', 'yap']"
82,tr-TR,train,alexa bana bir fıkra anlat,"['alexa', 'bana', 'bir', 'fıkra', 'anlat']"
83,tr-TR,train,beni neşelendir,"['beni', 'neşelendir']"
84,tr-TR,train,bana bugünü anlat,"['bana', 'bugünü', 'anlat']"
85,tr-TR,train,bir pizza sipariş et,"['bir', 'pizza', 'sipariş', 'et']"
86,tr-TR,train,bana tivoli den içli köfte siparişi ver,"['bana', 'tivoli', 'den', 'içli', 'köfte', 'siparişi', 'ver']"
87,tr-TR,train,siparişim ne zaman geliyor,"['siparişim', 'ne', 'zaman', 'geliyor']"
88,tr-TR,train,paket servisime ne kadar var,"['paket', 'servisime', 'ne', 'kadar', 'var']"
89,tr-TR,train,domino's teslimat durumu,"[""domino's"", 'teslimat', 'durumu']"
90,tr-TR,train,ne çalıyor,"['ne', 'çalıyor']"
91,tr-TR,train,şarkının adını söyle,"['şarkının', 'adını', 'söyle']"
92,tr-TR,train,benim jazz çalma listemi oynat,"['benim', 'jazz', 'çalma', 'listemi', 'oynat']"
93,tr-TR,train,benim jazz playlistimi başlat,"['benim', 'jazz', 'playlistimi', 'başlat']"
94,tr-TR,train,benim favori çalma listemi aç,"['benim', 'favori', 'çalma', 'listemi', 'aç']"
95,tr-TR,train,bu iyi bir şarkı,"['bu', 'iyi', 'bir', 'şarkı']"
96,tr-TR,train,hoşuma gitmedi,"['hoşuma', 'gitmedi']"
97,tr-TR,train,bunu severim,"['bunu', 'severim']"
98,tr-TR,train,jazz severim,"['jazz', 'severim']"
99,tr-TR,train,biraz caz çalabilir misin,"['biraz', 'caz', 'çalabilir', 'misin']"
100,tr-TR,train,bu şarkı çok iyiydi,"['bu', 'şarkı', 'çok', 'iyiydi']"
101,tr-TR,train,ses seviyesini değiştir,"['ses', 'seviyesini', 'değiştir']"
102,tr-TR,train,karışık çalmayı etkinleştir,"['karışık', 'çalmayı', 'etkinleştir']"
103,tr-TR,train,ayarları kaydet,"['ayarları', 'kaydet']"
104,tr-TR,train,parlaklığı yüzde elliye ayarla,"['parlaklığı', 'yüzde', 'elliye', 'ayarla']"
105,tr-TR,train,parlaklığı düşür,"['parlaklığı', 'düşür']"
106,tr-TR,train,parlaklığı azalt,"['parlaklığı', 'azalt']"
107,tr-TR,train,parlaklığı azalt,"['parlaklığı', 'azalt']"
108,tr-TR,train,ışıkları kıs,"['ışıkları', 'kıs']"
109,tr-TR,train,ışıkları kıs olly,"['ışıkları', 'kıs', 'olly']"
110,tr-TR,train,bana kahve yap,"['bana', 'kahve', 'yap']"
111,tr-TR,train,olly bana kahve yap,"['olly', 'bana', 'kahve', 'yap']"
112,tr-TR,train,bana kahve lazım,"['bana', 'kahve', 'lazım']"
113,tr-TR,train,şimdi kahve istiyorum,"['şimdi', 'kahve', 'istiyorum']"
114,tr-TR,train,nasılsın,['nasılsın']
115,tr-TR,train,alarmı sabah ona kur,"['alarmı', 'sabah', 'ona', 'kur']"
116,tr-TR,train,bana en son teknoloji haberlerini söyle,"['bana', 'en', 'son', 'teknoloji', 'haberlerini', 'söyle']"
117,tr-TR,train,bana son teknoloji haberlerini söyle,"['bana', 'son', 'teknoloji', 'haberlerini', 'söyle']"
118,tr-TR,train,bana havayı göster,"['bana', 'havayı', 'göster']"
119,tr-TR,train,hava şu an nasıl,"['hava', 'şu', 'an', 'nasıl']"
120,tr-TR,train,şu an yağmur yağıyor mu,"['şu', 'an', 'yağmur', 'yağıyor', 'mu']"
121,tr-TR,train,benim michael jackson playlist imi aç,"['benim', 'michael', 'jackson', 'playlist', 'imi', 'aç']"
122,tr-TR,train,benim çalma listemden tarkan çal,"['benim', 'çalma', 'listemden', 'tarkan', 'çal']"
123,tr-TR,train,benim favori çalma listemdeki son şarkıyı çal,"['benim', 'favori', 'çalma', 'listemdeki', 'son', 'şarkıyı', 'çal']"
124,tr-TR,train,sesi aç,"['sesi', 'aç']"
125,tr-TR,train,prizi aç,"['prizi', 'aç']"
126,tr-TR,train,fişi aç,"['fişi', 'aç']"
127,tr-TR,train,prizimi aç,"['prizimi', 'aç']"
128,tr-TR,train,bana biraz fıkra anlat,"['bana', 'biraz', 'fıkra', 'anlat']"
129,tr-TR,train,hiç fıkra biliyor musun,"['hiç', 'fıkra', 'biliyor', 'musun']"
130,tr-TR,train,saat kaç,"['saat', 'kaç']"
131,tr-TR,train,bana saati söyle,"['bana', 'saati', 'söyle']"
132,tr-TR,train,dominos eve sipariş alıyor mu,"['dominos', 'eve', 'sipariş', 'alıyor', 'mu']"
133,tr-TR,train,benim favori pizza salonum paket servisi için uygun mu,"['benim', 'favori', 'pizza', 'salonum', 'paket', 'servisi', 'için', 'uygun', 'mu']"
134,tr-TR,train,ispanyol lokantasından paket isteyebilir miyim,"['ispanyol', 'lokantasından', 'paket', 'isteyebilir', 'miyim']"
135,tr-TR,train,alarmı sil,"['alarmı', 'sil']"
136,tr-TR,train,kurduğum alarmları göster,"['kurduğum', 'alarmları', 'göster']"
137,tr-TR,train,herhangi alarmım var mı,"['herhangi', 'alarmım', 'var', 'mı']"
138,tr-TR,train,alarmları göster,"['alarmları', 'göster']"
139,tr-TR,train,istanbul'da hava nasıl,"[""istanbul'da"", 'hava', 'nasıl']"
140,tr-TR,train,bana istanbul hava durumunu söyle,"['bana', 'istanbul', 'hava', 'durumunu', 'söyle']"
141,tr-TR,train,lütfen ışıkları okumaya uygun yap,"['lütfen', 'ışıkları', 'okumaya', 'uygun', 'yap']"
142,tr-TR,train,lütfen ışığı izlemeye uygun yap,"['lütfen', 'ışığı', 'izlemeye', 'uygun', 'yap']"
143,tr-TR,train,odayı daha parlak yap,"['odayı', 'daha', 'parlak', 'yap']"
144,tr-TR,train,ışık başlasın,"['ışık', 'başlasın']"
145,tr-TR,train,bugün günün tarihi ne,"['bugün', 'günün', 'tarihi', 'ne']"
146,tr-TR,train,bugün günlerden ne,"['bugün', 'günlerden', 'ne']"
147,tr-TR,train,bana tarih ver,"['bana', 'tarih', 'ver']"
148,tr-TR,train,dışarıda yağmur yağıyor mu olly,"['dışarıda', 'yağmur', 'yağıyor', 'mu', 'olly']"
149,tr-TR,train,ışıkları yeşile çevir,"['ışıkları', 'yeşile', 'çevir']"
150,tr-TR,train,bu şarkıyı favori listeme ekle,"['bu', 'şarkıyı', 'favori', 'listeme', 'ekle']"
151,tr-TR,train,bu şarkı hangisi,"['bu', 'şarkı', 'hangisi']"
152,tr-TR,train,olly ışıkları kapat,"['olly', 'ışıkları', 'kapat']"
153,tr-TR,train,ışıklar kapansın,"['ışıklar', 'kapansın']"
154,tr-TR,train,lütfen yeri temizle,"['lütfen', 'yeri', 'temizle']"
155,tr-TR,train,pilav pişirme soketini aç,"['pilav', 'pişirme', 'soketini', 'aç']"
156,tr-TR,train,pilav pişirme makinesinin fişi kapat,"['pilav', 'pişirme', 'makinesinin', 'fişi', 'kapat']"
157,tr-TR,train,çin seddi den suşi siparişi vermeme yardımcı olur musun,"['çin', 'seddi', 'den', 'suşi', 'siparişi', 'vermeme', 'yardımcı', 'olur', 'musun']"
158,tr-TR,train,öğleden sonra dörde alarm kur,"['öğleden', 'sonra', 'dörde', 'alarm', 'kur']"
159,tr-TR,train,olly konsere gitmek için öğleden sonra üçte beni uyar,"['olly', 'konsere', 'gitmek', 'için', 'öğleden', 'sonra', 'üçte', 'beni', 'uyar']"
160,tr-TR,train,konsere gitmek için beni öğleden sonra saat üçte uyar,"['konsere', 'gitmek', 'için', 'beni', 'öğleden', 'sonra', 'saat', 'üçte', 'uyar']"
161,tr-TR,train,sabah uçuş için ayarlanmış bir alarmım var mı,"['sabah', 'uçuş', 'için', 'ayarlanmış', 'bir', 'alarmım', 'var', 'mı']"
162,tr-TR,train,herhangi bir alarm var mı,"['herhangi', 'bir', 'alarm', 'var', 'mı']"
163,tr-TR,train,muğla'da yağmur yağıyor mu,"[""muğla'da"", 'yağmur', 'yağıyor', 'mu']"
164,tr-TR,train,bugün yağmur var mı,"['bugün', 'yağmur', 'var', 'mı']"
165,tr-TR,train,dışarıda neler oluyor,"['dışarıda', 'neler', 'oluyor']"
166,tr-TR,train,dünya da neler oluyor,"['dünya', 'da', 'neler', 'oluyor']"
167,tr-TR,train,cambridge'de neler oluyor,"[""cambridge'de"", 'neler', 'oluyor']"
168,tr-TR,train,bana b.b.c.'den birkaç haber göster,"['bana', ""b.b.c.'den"", 'birkaç', 'haber', 'göster']"
169,tr-TR,train,olly bana b. b. c. den birkaç haber göster,"['olly', 'bana', 'b.', 'b.', 'c.', 'den', 'birkaç', 'haber', 'göster']"
170,tr-TR,train,c. n. n. haberleri aç,"['c.', 'n.', 'n.', 'haberleri', 'aç']"
171,tr-TR,train,olly teknoloji haberleri,"['olly', 'teknoloji', 'haberleri']"
172,tr-TR,train,bana biraz hip hop çal,"['bana', 'biraz', 'hip', 'hop', 'çal']"
173,tr-TR,train,şimdi death metal,"['şimdi', 'death', 'metal']"
174,tr-TR,train,olly ben genellikle işten sonra hangi müziği severim,"['olly', 'ben', 'genellikle', 'işten', 'sonra', 'hangi', 'müziği', 'severim']"
175,tr-TR,train,olly benim en favori piyanistimden müzik çal,"['olly', 'benim', 'en', 'favori', 'piyanistimden', 'müzik', 'çal']"
176,tr-TR,train,çok gürültülüsün,"['çok', 'gürültülüsün']"
177,tr-TR,train,seni zar zor duyabiliyorum olly,"['seni', 'zar', 'zor', 'duyabiliyorum', 'olly']"
178,tr-TR,train,ışıkları maviye çevir,"['ışıkları', 'maviye', 'çevir']"
179,tr-TR,train,ışıkları parlak mavi yap,"['ışıkları', 'parlak', 'mavi', 'yap']"
180,tr-TR,train,olly iyi geceler lambaları kapat,"['olly', 'iyi', 'geceler', 'lambaları', 'kapat']"
181,tr-TR,train,burası çok karanlık,"['burası', 'çok', 'karanlık']"
182,tr-TR,train,ışıkları daha aydınlık yap,"['ışıkları', 'daha', 'aydınlık', 'yap']"
183,tr-TR,train,olly çok karanlık elimi bile göremiyorum,"['olly', 'çok', 'karanlık', 'elimi', 'bile', 'göremiyorum']"
184,tr-TR,train,saat kaç,"['saat', 'kaç']"
185,tr-TR,train,şarkı ne,"['şarkı', 'ne']"
186,tr-TR,train,olly şarkı ne,"['olly', 'şarkı', 'ne']"
187,tr-TR,train,yaz gülü şarkısında şarkı ismiyle şarkıcı ne demek istedi,"['yaz', 'gülü', 'şarkısında', 'şarkı', 'ismiyle', 'şarkıcı', 'ne', 'demek', 'istedi']"
188,tr-TR,train,son bir gece daha şarkısını kim düzenledi,"['son', 'bir', 'gece', 'daha', 'şarkısını', 'kim', 'düzenledi']"
189,tr-TR,train,paris'te hava nasıl,"[""paris'te"", 'hava', 'nasıl']"
190,tr-TR,train,toronto'da hava nasıl,"[""toronto'da"", 'hava', 'nasıl']"
191,tr-TR,train,brexit görüşmeleri için son durum nedir,"['brexit', 'görüşmeleri', 'için', 'son', 'durum', 'nedir']"
192,tr-TR,train,fransa'da sonraki seçimleri kim kazanacak,"[""fransa'da"", 'sonraki', 'seçimleri', 'kim', 'kazanacak']"
193,tr-TR,train,pazar günü güneş bekliyor musun,"['pazar', 'günü', 'güneş', 'bekliyor', 'musun']"
194,tr-TR,train,akşam yağmur var mı,"['akşam', 'yağmur', 'var', 'mı']"
195,tr-TR,train,yarın rüzgârlı mı olacak,"['yarın', 'rüzgârlı', 'mı', 'olacak']"
196,tr-TR,train,kanepenin yanındaki lambayı aydınlat,"['kanepenin', 'yanındaki', 'lambayı', 'aydınlat']"
197,tr-TR,train,ışığı aç,"['ışığı', 'aç']"
198,tr-TR,train,moskova'da saat kaç,"[""moskova'da"", 'saat', 'kaç']"
199,tr-TR,train,mutfağı süpür,"['mutfağı', 'süpür']"
200,tr-TR,train,dünyada neler oluyor,"['dünyada', 'neler', 'oluyor']"
201,tr-TR,train,bana haberleri söyle,"['bana', 'haberleri', 'söyle']"
202,tr-TR,train,bugün hava nasıl,"['bugün', 'hava', 'nasıl']"
203,tr-TR,train,hava nasıl,"['hava', 'nasıl']"
204,tr-TR,train,hey ne yapıyorsun,"['hey', 'ne', 'yapıyorsun']"
205,tr-TR,train,nasılsın,['nasılsın']
206,tr-TR,train,sabah ne var,"['sabah', 'ne', 'var']"
207,tr-TR,train,pizza express den pizza iste,"['pizza', 'express', 'den', 'pizza', 'iste']"
208,tr-TR,train,sushi yemek istiyorum bana öğle yemeği sipariş eder misin,"['sushi', 'yemek', 'istiyorum', 'bana', 'öğle', 'yemeği', 'sipariş', 'eder', 'misin']"
209,tr-TR,train,alexa bana öğle yemeği için sushi siparişi verebilir misin,"['alexa', 'bana', 'öğle', 'yemeği', 'için', 'sushi', 'siparişi', 'verebilir', 'misin']"
210,tr-TR,train,mezzaluna dan eve servis sandviç ve çorba sipariş et,"['mezzaluna', 'dan', 'eve', 'servis', 'sandviç', 've', 'çorba', 'sipariş', 'et']"
211,tr-TR,train,bu yıl kaç gün kaldı,"['bu', 'yıl', 'kaç', 'gün', 'kaldı']"
212,tr-TR,train,parlaklığı yüzde yirmi arttır,"['parlaklığı', 'yüzde', 'yirmi', 'arttır']"
213,tr-TR,train,ışıkları tam güce ayarla,"['ışıkları', 'tam', 'güce', 'ayarla']"
214,tr-TR,train,sessiz,['sessiz']
215,tr-TR,train,yarın yanıma şemsiye alayım mı,"['yarın', 'yanıma', 'şemsiye', 'alayım', 'mı']"
216,tr-TR,train,akıllı şarjı aç,"['akıllı', 'şarjı', 'aç']"
217,tr-TR,train,bana engadget tan teknoloji haberlerini söyle,"['bana', 'engadget', 'tan', 'teknoloji', 'haberlerini', 'söyle']"
218,tr-TR,train,mutlu,['mutlu']
219,tr-TR,train,akşam,['akşam']
220,tr-TR,train,pazar,['pazar']
221,tr-TR,train,daha sessiz,"['daha', 'sessiz']"
222,tr-TR,train,sessiz,['sessiz']
223,tr-TR,train,afyon için hava durumunu öğrenmek istiyorum,"['afyon', 'için', 'hava', 'durumunu', 'öğrenmek', 'istiyorum']"
224,tr-TR,train,bolu'da kar yağıyor mu,"[""bolu'da"", 'kar', 'yağıyor', 'mu']"
225,tr-TR,train,şimdi bir kahveye ihtiyacım var,"['şimdi', 'bir', 'kahveye', 'ihtiyacım', 'var']"
226,tr-TR,train,bugün ihtiyacı olan birine yardım ettim olly,"['bugün', 'ihtiyacı', 'olan', 'birine', 'yardım', 'ettim', 'olly']"
227,tr-TR,train,kahve makinesini başlat,"['kahve', 'makinesini', 'başlat']"
228,tr-TR,train,bir kahve hazırla şimdi,"['bir', 'kahve', 'hazırla', 'şimdi']"
229,tr-TR,train,yarın hava nasıl olacak,"['yarın', 'hava', 'nasıl', 'olacak']"
230,tr-TR,train,yarının hava tahminleri nasıl,"['yarının', 'hava', 'tahminleri', 'nasıl']"
231,tr-TR,train,yarın kar var mı,"['yarın', 'kar', 'var', 'mı']"
232,tr-TR,train,restoran paket servisi siparişi alıyor mu bul,"['restoran', 'paket', 'servisi', 'siparişi', 'alıyor', 'mu', 'bul']"
233,tr-TR,train,restoran eve servis yapıyor mu araştır,"['restoran', 'eve', 'servis', 'yapıyor', 'mu', 'araştır']"
234,tr-TR,train,restoran menu paket servisi yapıyor mu,"['restoran', 'menu', 'paket', 'servisi', 'yapıyor', 'mu']"
235,tr-TR,train,martın yirmi dokuzu hangi güne denk geliyor,"['martın', 'yirmi', 'dokuzu', 'hangi', 'güne', 'denk', 'geliyor']"
236,tr-TR,train,bir sonraki alarmım hangisi,"['bir', 'sonraki', 'alarmım', 'hangisi']"
237,tr-TR,train,lütfen bana alarmlarımı söyle,"['lütfen', 'bana', 'alarmlarımı', 'söyle']"
238,tr-TR,train,bugün alarmım kaçta çalacak,"['bugün', 'alarmım', 'kaçta', 'çalacak']"
239,tr-TR,train,bana saati söyler misin,"['bana', 'saati', 'söyler', 'misin']"
240,tr-TR,train,google play müzik den sekizinci parçayı çal,"['google', 'play', 'müzik', 'den', 'sekizinci', 'parçayı', 'çal']"
241,tr-TR,train,benim playlist ten rastgele bir şarkı çal,"['benim', 'playlist', 'ten', 'rastgele', 'bir', 'şarkı', 'çal']"
242,tr-TR,train,günün tarihi ne,"['günün', 'tarihi', 'ne']"
243,tr-TR,train,haberlerde neler oluyor,"['haberlerde', 'neler', 'oluyor']"
244,tr-TR,train,ışığın kapanmasını istiyorum bunu benim için yapabilir misin,"['ışığın', 'kapanmasını', 'istiyorum', 'bunu', 'benim', 'için', 'yapabilir', 'misin']"
245,tr-TR,train,bana hava ile ilgili şunların doğru olup olmadığını söyle,"['bana', 'hava', 'ile', 'ilgili', 'şunların', 'doğru', 'olup', 'olmadığını', 'söyle']"
246,tr-TR,train,hava durumu uygulamasını görmek için kontrol et,"['hava', 'durumu', 'uygulamasını', 'görmek', 'için', 'kontrol', 'et']"
247,tr-TR,train,bu müziği benim oynatma listeme kaydedebilirsin,"['bu', 'müziği', 'benim', 'oynatma', 'listeme', 'kaydedebilirsin']"
248,tr-TR,train,bu müziği kaydetmeye ne dersin,"['bu', 'müziği', 'kaydetmeye', 'ne', 'dersin']"
249,tr-TR,train,athena dan kafama göre yi çal lütfen,"['athena', 'dan', 'kafama', 'göre', 'yi', 'çal', 'lütfen']"
250,tr-TR,train,lütfen benim müzik aplikasyonumu aç ve athena dan arsız gönül ü çal,"['lütfen', 'benim', 'müzik', 'aplikasyonumu', 'aç', 've', 'athena', 'dan', 'arsız', 'gönül', 'ü', 'çal']"
251,tr-TR,train,lütfen duman dan seni kendime sakladım şarkı sını çal,"['lütfen', 'duman', 'dan', 'seni', 'kendime', 'sakladım', 'şarkı', 'sını', 'çal']"
252,tr-TR,train,garaj ışıklarını kapat,"['garaj', 'ışıklarını', 'kapat']"
253,tr-TR,train,hürriyet haber için popüler haberleri kontrol et,"['hürriyet', 'haber', 'için', 'popüler', 'haberleri', 'kontrol', 'et']"
254,tr-TR,train,hindistan zamanında herhangi bir ölüm haberi var mı,"['hindistan', 'zamanında', 'herhangi', 'bir', 'ölüm', 'haberi', 'var', 'mı']"
255,tr-TR,train,akıllı prizi aç,"['akıllı', 'prizi', 'aç']"
256,tr-TR,train,hatayda öğlen ise içelde saat kaç,"['hatayda', 'öğlen', 'ise', 'içelde', 'saat', 'kaç']"
257,tr-TR,train,doğu zaman dilimi ile pasifik zaman dilimi arasındaki zaman farkı nedir,"['doğu', 'zaman', 'dilimi', 'ile', 'pasifik', 'zaman', 'dilimi', 'arasındaki', 'zaman', 'farkı', 'nedir']"
