,locale,partition,utt,tokens
139,is-IS,train,hvernig er veðrið í keflavík,"['hvernig', 'er', 'veðrið', 'í', 'keflavík']"
140,is-IS,train,segðu mér frá veðrinu á selfossi,"['segðu', 'mér', 'frá', 'veðrinu', 'á', 'selfossi']"
141,is-IS,train,vinsamlegast gerðu ljósin lestrarvæn,"['vinsamlegast', 'gerðu', 'ljósin', 'lestrarvæn']"
142,is-IS,train,gerðu ljósin góð til að horfa,"['gerðu', 'ljósin', 'góð', 'til', 'að', 'horfa']"
143,is-IS,train,gera herbergið bjartara,"['gera', 'herbergið', 'bjartara']"
144,is-IS,train,og ljósið byrjaði,"['og', 'ljósið', 'byrjaði']"
145,is-IS,train,hvaða dagsetning er í dag,"['hvaða', 'dagsetning', 'er', 'í', 'dag']"
146,is-IS,train,hvaða dagur er í dag,"['hvaða', 'dagur', 'er', 'í', 'dag']"
147,is-IS,train,segðu mér dagsetninguna,"['segðu', 'mér', 'dagsetninguna']"
148,is-IS,train,er rigning úti olly,"['er', 'rigning', 'úti', 'olly']"
149,is-IS,train,breyta ljósum í grænan,"['breyta', 'ljósum', 'í', 'grænan']"
150,is-IS,train,bættu þessu lagi við listann af uppáhalds lögum,"['bættu', 'þessu', 'lagi', 'við', 'listann', 'af', 'uppáhalds', 'lögum']"
151,is-IS,train,hvað er þetta lag,"['hvað', 'er', 'þetta', 'lag']"
152,is-IS,train,olly ljós slökkt,"['olly', 'ljós', 'slökkt']"
153,is-IS,train,ljós slökkt,"['ljós', 'slökkt']"
154,is-IS,train,þrífa gólfið takk,"['þrífa', 'gólfið', 'takk']"
155,is-IS,train,kveikja á innstungunni fyrir hrísgrjónapottinn,"['kveikja', 'á', 'innstungunni', 'fyrir', 'hrísgrjónapottinn']"
156,is-IS,train,slökkva á innstungu fyrir hrísgrjónapott,"['slökkva', 'á', 'innstungu', 'fyrir', 'hrísgrjónapott']"
157,is-IS,train,vinsamlegast aðstoðaðu mig að panta sushi frá hraðlestinni,"['vinsamlegast', 'aðstoðaðu', 'mig', 'að', 'panta', 'sushi', 'frá', 'hraðlestinni']"
158,is-IS,train,settu á vekjara klukkan fjögur eftir hádegi,"['settu', 'á', 'vekjara', 'klukkan', 'fjögur', 'eftir', 'hádegi']"
159,is-IS,train,olly minntu mig á klukkan þrjú eftir hádegi að fara á tónleikana,"['olly', 'minntu', 'mig', 'á', 'klukkan', 'þrjú', 'eftir', 'hádegi', 'að', 'fara', 'á', 'tónleikana']"
160,is-IS,train,minntu mig á klukkan þrjú eftir hádegi að fara á tónleikana,"['minntu', 'mig', 'á', 'klukkan', 'þrjú', 'eftir', 'hádegi', 'að', 'fara', 'á', 'tónleikana']"
161,is-IS,train,er ég með vekjara á morgun fyrir flug,"['er', 'ég', 'með', 'vekjara', 'á', 'morgun', 'fyrir', 'flug']"
162,is-IS,train,eru einhverjir vekjarar,"['eru', 'einhverjir', 'vekjarar']"
163,is-IS,train,rignir á akureyri núna,"['rignir', 'á', 'akureyri', 'núna']"
164,is-IS,train,mun rigna í dag,"['mun', 'rigna', 'í', 'dag']"
165,is-IS,train,hvað er að gerast úti,"['hvað', 'er', 'að', 'gerast', 'úti']"
166,is-IS,train,hvað er að gerast í heiminum,"['hvað', 'er', 'að', 'gerast', 'í', 'heiminum']"
167,is-IS,train,hvað er að gerast á ísafirði,"['hvað', 'er', 'að', 'gerast', 'á', 'ísafirði']"
168,is-IS,train,sýndu mér einhverjar fréttir frá d. v.,"['sýndu', 'mér', 'einhverjar', 'fréttir', 'frá', 'd.', 'v.']"
169,is-IS,train,olly sýndu mér sumar fréttir af rúv,"['olly', 'sýndu', 'mér', 'sumar', 'fréttir', 'af', 'rúv']"
170,is-IS,train,spilaðu rúv fréttir,"['spilaðu', 'rúv', 'fréttir']"
171,is-IS,train,olly hacker news,"['olly', 'hacker', 'news']"
172,is-IS,train,spila smávegis hipphopp,"['spila', 'smávegis', 'hipphopp']"
173,is-IS,train,dauðarokk núna,"['dauðarokk', 'núna']"
174,is-IS,train,olly hvaða tónlist hlusta ég yfirleitt á eftir vinnu,"['olly', 'hvaða', 'tónlist', 'hlusta', 'ég', 'yfirleitt', 'á', 'eftir', 'vinnu']"
175,is-IS,train,olly spilaðu tónlist frá uppáhalds píanóleikaranum mínum,"['olly', 'spilaðu', 'tónlist', 'frá', 'uppáhalds', 'píanóleikaranum', 'mínum']"
176,is-IS,train,þú ert of hávært,"['þú', 'ert', 'of', 'hávært']"
177,is-IS,train,ég heyri varla í þér olly,"['ég', 'heyri', 'varla', 'í', 'þér', 'olly']"
178,is-IS,train,gerðu ljósin blá,"['gerðu', 'ljósin', 'blá']"
179,is-IS,train,gerðu ljósin skínandi blá,"['gerðu', 'ljósin', 'skínandi', 'blá']"
180,is-IS,train,olly góða nótt slökkva ljós,"['olly', 'góða', 'nótt', 'slökkva', 'ljós']"
181,is-IS,train,það er hræðilega dimmt hérna,"['það', 'er', 'hræðilega', 'dimmt', 'hérna']"
182,is-IS,train,gera ljósin bjartari,"['gera', 'ljósin', 'bjartari']"
183,is-IS,train,olly það er of dimmt ég sé ekki einu sinni á mér hendurnar,"['olly', 'það', 'er', 'of', 'dimmt', 'ég', 'sé', 'ekki', 'einu', 'sinni', 'á', 'mér', 'hendurnar']"
184,is-IS,train,hvað er klukkan,"['hvað', 'er', 'klukkan']"
185,is-IS,train,hvað er lagið,"['hvað', 'er', 'lagið']"
186,is-IS,train,olly hvað er lagið,"['olly', 'hvað', 'er', 'lagið']"
187,is-IS,train,hvaða söngvara er verið að tala um í titlinum á laginu með allt á hreinu,"['hvaða', 'söngvara', 'er', 'verið', 'að', 'tala', 'um', 'í', 'titlinum', 'á', 'laginu', 'með', 'allt', 'á', 'hreinu']"
188,is-IS,train,hver gerði ábreiðu af laginu fallegur dagur,"['hver', 'gerði', 'ábreiðu', 'af', 'laginu', 'fallegur', 'dagur']"
189,is-IS,train,hvernig er veðrið í reykjavík,"['hvernig', 'er', 'veðrið', 'í', 'reykjavík']"
190,is-IS,train,hvernig er veðrið á hellisheiði,"['hvernig', 'er', 'veðrið', 'á', 'hellisheiði']"
191,is-IS,train,hver er staða brexit viðræðnanna,"['hver', 'er', 'staða', 'brexit', 'viðræðnanna']"
192,is-IS,train,hver mun vinna næstu kosningarnar í frakklandi,"['hver', 'mun', 'vinna', 'næstu', 'kosningarnar', 'í', 'frakklandi']"
193,is-IS,train,býstu við sól á sunnudag,"['býstu', 'við', 'sól', 'á', 'sunnudag']"
194,is-IS,train,á eftir að rigna í kvöld,"['á', 'eftir', 'að', 'rigna', 'í', 'kvöld']"
195,is-IS,train,verður hvasst á morgun,"['verður', 'hvasst', 'á', 'morgun']"
196,is-IS,train,gera lampann við hliðina á sófanum bjartari,"['gera', 'lampann', 'við', 'hliðina', 'á', 'sófanum', 'bjartari']"
197,is-IS,train,lýsa ljós,"['lýsa', 'ljós']"
198,is-IS,train,hver er tíminn í moskvu núna,"['hver', 'er', 'tíminn', 'í', 'moskvu', 'núna']"
199,is-IS,train,ryksuga eldhúsið,"['ryksuga', 'eldhúsið']"
200,is-IS,train,hvað er að gerast í heiminum,"['hvað', 'er', 'að', 'gerast', 'í', 'heiminum']"
201,is-IS,train,segðu mér fréttirnar,"['segðu', 'mér', 'fréttirnar']"
202,is-IS,train,hver er veðurspáin fyrir daginn í dag,"['hver', 'er', 'veðurspáin', 'fyrir', 'daginn', 'í', 'dag']"
203,is-IS,train,hvernig er veðrið,"['hvernig', 'er', 'veðrið']"
204,is-IS,train,heyrðu hvað ertu að gera,"['heyrðu', 'hvað', 'ertu', 'að', 'gera']"
205,is-IS,train,hvernig hefur þú það,"['hvernig', 'hefur', 'þú', 'það']"
206,is-IS,train,daginn hvað er að frétta,"['daginn', 'hvað', 'er', 'að', 'frétta']"
207,is-IS,train,panta pítsu frá flatbökunni,"['panta', 'pítsu', 'frá', 'flatbökunni']"
208,is-IS,train,alexa ég vil fá sushi geturðu pantað hádegismat fyrir mig,"['alexa', 'ég', 'vil', 'fá', 'sushi', 'geturðu', 'pantað', 'hádegismat', 'fyrir', 'mig']"
209,is-IS,train,alexa ég myndi vilja fá sushi geturðu pantað fyrir mig í hádegismat,"['alexa', 'ég', 'myndi', 'vilja', 'fá', 'sushi', 'geturðu', 'pantað', 'fyrir', 'mig', 'í', 'hádegismat']"
210,is-IS,train,panta að taka með samloku og súpu frá tryggvaskála,"['panta', 'að', 'taka', 'með', 'samloku', 'og', 'súpu', 'frá', 'tryggvaskála']"
211,is-IS,train,hve margir dagar eru eftir af þessu ári,"['hve', 'margir', 'dagar', 'eru', 'eftir', 'af', 'þessu', 'ári']"
212,is-IS,train,auka birtustig um tuttugu prósent,"['auka', 'birtustig', 'um', 'tuttugu', 'prósent']"
213,is-IS,train,setja ljós á fullan styrk,"['setja', 'ljós', 'á', 'fullan', 'styrk']"
214,is-IS,train,þögult,['þögult']
215,is-IS,train,ætti ég að vera með regnhlíf á morgun,"['ætti', 'ég', 'að', 'vera', 'með', 'regnhlíf', 'á', 'morgun']"
216,is-IS,train,kveikja á snjall hleðslu,"['kveikja', 'á', 'snjall', 'hleðslu']"
217,is-IS,train,segðu mér tækni fréttir frá m. b. l.,"['segðu', 'mér', 'tækni', 'fréttir', 'frá', 'm.', 'b.', 'l.']"
218,is-IS,train,glaður,['glaður']
219,is-IS,train,kvöld,['kvöld']
220,is-IS,train,sunnudagur,['sunnudagur']
221,is-IS,train,hljóðar,['hljóðar']
222,is-IS,train,þögult,['þögult']
223,is-IS,train,hvernig er veðrið á akureyri,"['hvernig', 'er', 'veðrið', 'á', 'akureyri']"
224,is-IS,train,snjóar í kaliforníu,"['snjóar', 'í', 'kaliforníu']"
225,is-IS,train,hey ég þarf kaffi núna,"['hey', 'ég', 'þarf', 'kaffi', 'núna']"
226,is-IS,train,ég aðstoðaði manneskju í nauð í dag olly,"['ég', 'aðstoðaði', 'manneskju', 'í', 'nauð', 'í', 'dag', 'olly']"
227,is-IS,train,kveiktu á kaffivélinni,"['kveiktu', 'á', 'kaffivélinni']"
228,is-IS,train,hafðu kaffibolla tilbúinn núna,"['hafðu', 'kaffibolla', 'tilbúinn', 'núna']"
229,is-IS,train,hvernig verður veðrið á morgun,"['hvernig', 'verður', 'veðrið', 'á', 'morgun']"
230,is-IS,train,hver er veðurspá morgundags,"['hver', 'er', 'veðurspá', 'morgundags']"
231,is-IS,train,mun vera snjór á morgun,"['mun', 'vera', 'snjór', 'á', 'morgun']"
232,is-IS,train,finndu ef veitingastaðurinn gerir taka með mat pantanir,"['finndu', 'ef', 'veitingastaðurinn', 'gerir', 'taka', 'með', 'mat', 'pantanir']"
233,is-IS,train,leitaðu ef veitingastaðurinn hefur mat að taka með,"['leitaðu', 'ef', 'veitingastaðurinn', 'hefur', 'mat', 'að', 'taka', 'með']"
234,is-IS,train,er taka með matseðill í boði á veitingastaðnum,"['er', 'taka', 'með', 'matseðill', 'í', 'boði', 'á', 'veitingastaðnum']"
235,is-IS,train,tuttugasti og níundi mars kemur hvaða dag,"['tuttugasti', 'og', 'níundi', 'mars', 'kemur', 'hvaða', 'dag']"
236,is-IS,train,hvað er næsta vekjaraklukka,"['hvað', 'er', 'næsta', 'vekjaraklukka']"
237,is-IS,train,segður mér frá vekjurunum mínum takk,"['segður', 'mér', 'frá', 'vekjurunum', 'mínum', 'takk']"
238,is-IS,train,klukkan hvað hringir vekjarinn minn í dag,"['klukkan', 'hvað', 'hringir', 'vekjarinn', 'minn', 'í', 'dag']"
239,is-IS,train,geturðu sagt mér hvað klukkan er,"['geturðu', 'sagt', 'mér', 'hvað', 'klukkan', 'er']"
240,is-IS,train,spilaðu lag átta frá google play tónlist,"['spilaðu', 'lag', 'átta', 'frá', 'google', 'play', 'tónlist']"
241,is-IS,train,spilaðu lag af handahófi úr lagalistanum mínum,"['spilaðu', 'lag', 'af', 'handahófi', 'úr', 'lagalistanum', 'mínum']"
242,is-IS,train,hver er dagsetningin í dag,"['hver', 'er', 'dagsetningin', 'í', 'dag']"
