,locale,partition,utt,tokens
37,ru-RU,train,я хочу немного карри с собой рекомендации,"['я', 'хочу', 'немного', 'карри', 'с', 'собой', 'рекомендации']"
38,ru-RU,train,я хочу немного карри есть какие нибудь предложения olly,"['я', 'хочу', 'немного', 'карри', 'есть', 'какие', 'нибудь', 'предложения', 'olly']"
39,ru-RU,train,найди мои тайские блюда на вынос в панинаро,"['найди', 'мои', 'тайские', 'блюда', 'на', 'вынос', 'в', 'панинаро']"
40,ru-RU,train,останови будильник на семь утра,"['останови', 'будильник', 'на', 'семь', 'утра']"
41,ru-RU,train,пожалуйста список активных будильников,"['пожалуйста', 'список', 'активных', 'будильников']"
42,ru-RU,train,что происходит сегодня в футболе,"['что', 'происходит', 'сегодня', 'в', 'футболе']"
43,ru-RU,train,поставь пожалуйста кравц обнуляй,"['поставь', 'пожалуйста', 'кравц', 'обнуляй']"
44,ru-RU,train,я люблю музыку в стиле рок,"['я', 'люблю', 'музыку', 'в', 'стиле', 'рок']"
45,ru-RU,train,моя любимая музыкальная группа это чайф,"['моя', 'любимая', 'музыкальная', 'группа', 'это', 'чайф']"
46,ru-RU,train,начни играть музыку из избранного,"['начни', 'играть', 'музыку', 'из', 'избранного']"
47,ru-RU,train,включи мою избранную музыку,"['включи', 'мою', 'избранную', 'музыку']"
48,ru-RU,train,кто автор текущей песни,"['кто', 'автор', 'текущей', 'песни']"
49,ru-RU,train,с какого альбома эта музыка,"['с', 'какого', 'альбома', 'эта', 'музыка']"
50,ru-RU,train,олли я действительно наслаждаюсь этой песней,"['олли', 'я', 'действительно', 'наслаждаюсь', 'этой', 'песней']"
51,ru-RU,train,песня которую ты играешь великолепна,"['песня', 'которую', 'ты', 'играешь', 'великолепна']"
52,ru-RU,train,это одно из самых лучших песен для меня,"['это', 'одно', 'из', 'самых', 'лучших', 'песен', 'для', 'меня']"
53,ru-RU,train,сделай свет поярче,"['сделай', 'свет', 'поярче']"
54,ru-RU,train,включи свет на максимум,"['включи', 'свет', 'на', 'максимум']"
55,ru-RU,train,эй включи робот пылесос,"['эй', 'включи', 'робот', 'пылесос']"
56,ru-RU,train,включи робот пылесос,"['включи', 'робот', 'пылесос']"
57,ru-RU,train,пожалуйста закажи немного суши на ужин,"['пожалуйста', 'закажи', 'немного', 'суши', 'на', 'ужин']"
58,ru-RU,train,эй я хочу чтобы ты заказал бургер,"['эй', 'я', 'хочу', 'чтобы', 'ты', 'заказал', 'бургер']"
59,ru-RU,train,можно заказать в гинзе ужин на вынос,"['можно', 'заказать', 'в', 'гинзе', 'ужин', 'на', 'вынос']"
60,ru-RU,train,в панинаро можно делать заказ на вынос,"['в', 'панинаро', 'можно', 'делать', 'заказ', 'на', 'вынос']"
61,ru-RU,train,установить будильник на двенадцать,"['установить', 'будильник', 'на', 'двенадцать']"
62,ru-RU,train,установить будильник который прозвенит через сорок минут,"['установить', 'будильник', 'который', 'прозвенит', 'через', 'сорок', 'минут']"
63,ru-RU,train,поставь будильник на восемь каждый будний день,"['поставь', 'будильник', 'на', 'восемь', 'каждый', 'будний', 'день']"
64,ru-RU,train,идёт дождь,"['идёт', 'дождь']"
65,ru-RU,train,там собирается дождь,"['там', 'собирается', 'дождь']"
66,ru-RU,train,там сейчас идёт снег,"['там', 'сейчас', 'идёт', 'снег']"
67,ru-RU,train,какая погода на этой неделе,"['какая', 'погода', 'на', 'этой', 'неделе']"
68,ru-RU,train,расскажи новости russia today,"['расскажи', 'новости', 'russia', 'today']"
69,ru-RU,train,какие новости по b b c news,"['какие', 'новости', 'по', 'b', 'b', 'c', 'news']"
70,ru-RU,train,какие последние новости в яндекс новостях,"['какие', 'последние', 'новости', 'в', 'яндекс', 'новостях']"
71,ru-RU,train,включи песню которая мне нравится,"['включи', 'песню', 'которая', 'мне', 'нравится']"
72,ru-RU,train,играй арию,"['играй', 'арию']"
73,ru-RU,train,поставь короля и шута,"['поставь', 'короля', 'и', 'шута']"
74,ru-RU,train,перемешай этот плейлист,"['перемешай', 'этот', 'плейлист']"
75,ru-RU,train,что играет,"['что', 'играет']"
76,ru-RU,train,что это за музыка,"['что', 'это', 'за', 'музыка']"
77,ru-RU,train,скажи мне кто исполнитель этой песни,"['скажи', 'мне', 'кто', 'исполнитель', 'этой', 'песни']"
78,ru-RU,train,заставь меня рассмеяться,"['заставь', 'меня', 'рассмеяться']"
79,ru-RU,train,olly рассмеши меня,"['olly', 'рассмеши', 'меня']"
80,ru-RU,train,расскажи мне хорошую шутку,"['расскажи', 'мне', 'хорошую', 'шутку']"
81,ru-RU,train,расскажи мне шутку,"['расскажи', 'мне', 'шутку']"
82,ru-RU,train,alexa расскажи мне анекдот,"['alexa', 'расскажи', 'мне', 'анекдот']"
83,ru-RU,train,подними мне настроение,"['подними', 'мне', 'настроение']"
84,ru-RU,train,расскажи о сегодняшнем дне,"['расскажи', 'о', 'сегодняшнем', 'дне']"
85,ru-RU,train,закажи пиццу,"['закажи', 'пиццу']"
86,ru-RU,train,закажи мне шаурму из кулинара,"['закажи', 'мне', 'шаурму', 'из', 'кулинара']"
87,ru-RU,train,когда приедет мой заказ,"['когда', 'приедет', 'мой', 'заказ']"
88,ru-RU,train,сколько еще будет готовиться мой заказ на вынос,"['сколько', 'еще', 'будет', 'готовиться', 'мой', 'заказ', 'на', 'вынос']"
89,ru-RU,train,статус доставки в domino's,"['статус', 'доставки', 'в', ""domino's""]"
90,ru-RU,train,что играет,"['что', 'играет']"
91,ru-RU,train,скажи мне название песни,"['скажи', 'мне', 'название', 'песни']"
92,ru-RU,train,включи мой джаз плейлист,"['включи', 'мой', 'джаз', 'плейлист']"
93,ru-RU,train,включи мой джаз плейлист,"['включи', 'мой', 'джаз', 'плейлист']"
94,ru-RU,train,включи мой любимый плейлист,"['включи', 'мой', 'любимый', 'плейлист']"
95,ru-RU,train,это хорошая песня,"['это', 'хорошая', 'песня']"
96,ru-RU,train,мне это не нравится,"['мне', 'это', 'не', 'нравится']"
97,ru-RU,train,мне это нравится,"['мне', 'это', 'нравится']"
98,ru-RU,train,мне нравится джаз,"['мне', 'нравится', 'джаз']"
99,ru-RU,train,ты можешь сыграть немного джаза,"['ты', 'можешь', 'сыграть', 'немного', 'джаза']"
100,ru-RU,train,эта песня была очень хорошей,"['эта', 'песня', 'была', 'очень', 'хорошей']"
101,ru-RU,train,измени громкость,"['измени', 'громкость']"
102,ru-RU,train,включи перетасовку,"['включи', 'перетасовку']"
103,ru-RU,train,сохрани настройки,"['сохрани', 'настройки']"
104,ru-RU,train,установи яркость на пятьдесят процентов,"['установи', 'яркость', 'на', 'пятьдесят', 'процентов']"
105,ru-RU,train,убавь яркость,"['убавь', 'яркость']"
106,ru-RU,train,понизь яркость,"['понизь', 'яркость']"
107,ru-RU,train,уменьши яркость,"['уменьши', 'яркость']"
108,ru-RU,train,убавь свет,"['убавь', 'свет']"
109,ru-RU,train,olly приглуши свет,"['olly', 'приглуши', 'свет']"
110,ru-RU,train,сделай мне кофе,"['сделай', 'мне', 'кофе']"
111,ru-RU,train,olly сделай мне кофе,"['olly', 'сделай', 'мне', 'кофе']"
112,ru-RU,train,мне нужно кофе,"['мне', 'нужно', 'кофе']"
113,ru-RU,train,сейчас я хочу кофе,"['сейчас', 'я', 'хочу', 'кофе']"
114,ru-RU,train,как ты,"['как', 'ты']"
115,ru-RU,train,установить будильник на десять утра,"['установить', 'будильник', 'на', 'десять', 'утра']"
116,ru-RU,train,расскажи о последних технологических новостях,"['расскажи', 'о', 'последних', 'технологических', 'новостях']"
117,ru-RU,train,расскажи мне последние новости о технологиях,"['расскажи', 'мне', 'последние', 'новости', 'о', 'технологиях']"
118,ru-RU,train,расскажи о погоде,"['расскажи', 'о', 'погоде']"
119,ru-RU,train,какая погода сейчас,"['какая', 'погода', 'сейчас']"
120,ru-RU,train,сейчас идёт дождь,"['сейчас', 'идёт', 'дождь']"
121,ru-RU,train,включи мой плейлист полины гагариной,"['включи', 'мой', 'плейлист', 'полины', 'гагариной']"
122,ru-RU,train,включи ивана дорна из моего плейлиста,"['включи', 'ивана', 'дорна', 'из', 'моего', 'плейлиста']"
123,ru-RU,train,воспроизвести последнюю песню из моего любимого плейлиста,"['воспроизвести', 'последнюю', 'песню', 'из', 'моего', 'любимого', 'плейлиста']"
124,ru-RU,train,увеличь громкость,"['увеличь', 'громкость']"
125,ru-RU,train,включи розетку,"['включи', 'розетку']"
126,ru-RU,train,включи розетку,"['включи', 'розетку']"
127,ru-RU,train,включи мою розетку,"['включи', 'мою', 'розетку']"
128,ru-RU,train,расскажи мне какую-нибудь шутку,"['расскажи', 'мне', 'какую-нибудь', 'шутку']"
129,ru-RU,train,ты знаешь какую нибудь шутку,"['ты', 'знаешь', 'какую', 'нибудь', 'шутку']"
130,ru-RU,train,какое сейчас время,"['какое', 'сейчас', 'время']"
131,ru-RU,train,скажи время,"['скажи', 'время']"
132,ru-RU,train,в dominoes можно взять на вынос,"['в', 'dominoes', 'можно', 'взять', 'на', 'вынос']"
133,ru-RU,train,можно ли в моей любимой пицце заказать на вынос,"['можно', 'ли', 'в', 'моей', 'любимой', 'пицце', 'заказать', 'на', 'вынос']"
134,ru-RU,train,могу я заказать на вынос из испанского заведения,"['могу', 'я', 'заказать', 'на', 'вынос', 'из', 'испанского', 'заведения']"
135,ru-RU,train,убрать будильник,"['убрать', 'будильник']"
136,ru-RU,train,покажи мне будильники которые я установил,"['покажи', 'мне', 'будильники', 'которые', 'я', 'установил']"
137,ru-RU,train,у меня есть какие-то будильники,"['у', 'меня', 'есть', 'какие-то', 'будильники']"
138,ru-RU,train,покажи будильники,"['покажи', 'будильники']"
139,ru-RU,train,какая погода в пензе,"['какая', 'погода', 'в', 'пензе']"
140,ru-RU,train,расскажи о погоде в шадринске,"['расскажи', 'о', 'погоде', 'в', 'шадринске']"
141,ru-RU,train,пожалуйста сделай свет удобным для чтения,"['пожалуйста', 'сделай', 'свет', 'удобным', 'для', 'чтения']"
142,ru-RU,train,сделай освещение подходящим для просмотра,"['сделай', 'освещение', 'подходящим', 'для', 'просмотра']"
143,ru-RU,train,сделай комнату светлее,"['сделай', 'комнату', 'светлее']"
144,ru-RU,train,и включился свет,"['и', 'включился', 'свет']"
145,ru-RU,train,какое сегодня число,"['какое', 'сегодня', 'число']"
146,ru-RU,train,какой день недели сегодня,"['какой', 'день', 'недели', 'сегодня']"
147,ru-RU,train,скажи мне дату,"['скажи', 'мне', 'дату']"
148,ru-RU,train,на улице идёт дождь алиса,"['на', 'улице', 'идёт', 'дождь', 'алиса']"
149,ru-RU,train,измени свет на зеленый,"['измени', 'свет', 'на', 'зеленый']"
150,ru-RU,train,добавь эту песню в избранное,"['добавь', 'эту', 'песню', 'в', 'избранное']"
151,ru-RU,train,что это за песня,"['что', 'это', 'за', 'песня']"
152,ru-RU,train,olly выключи свет,"['olly', 'выключи', 'свет']"
153,ru-RU,train,выключи свет,"['выключи', 'свет']"
154,ru-RU,train,вымой пол пожалуйста,"['вымой', 'пол', 'пожалуйста']"
155,ru-RU,train,включи розетку для рисоварки,"['включи', 'розетку', 'для', 'рисоварки']"
156,ru-RU,train,выключи розетку рисоварки,"['выключи', 'розетку', 'рисоварки']"
157,ru-RU,train,можешь помочь мне заказать немного суши в достаевском,"['можешь', 'помочь', 'мне', 'заказать', 'немного', 'суши', 'в', 'достаевском']"
158,ru-RU,train,поставить будильник на четыре после полудня,"['поставить', 'будильник', 'на', 'четыре', 'после', 'полудня']"
159,ru-RU,train,olly уведоми меня в три часа дня пойти на концерт,"['olly', 'уведоми', 'меня', 'в', 'три', 'часа', 'дня', 'пойти', 'на', 'концерт']"
160,ru-RU,train,уведоми меня в три часа дня пойти на концерт,"['уведоми', 'меня', 'в', 'три', 'часа', 'дня', 'пойти', 'на', 'концерт']"
161,ru-RU,train,имею ли я будильник на утренний рейс,"['имею', 'ли', 'я', 'будильник', 'на', 'утренний', 'рейс']"
162,ru-RU,train,есть ли у меня какие-нибудь будильники,"['есть', 'ли', 'у', 'меня', 'какие-нибудь', 'будильники']"
163,ru-RU,train,сейчас в казани идёт дождь,"['сейчас', 'в', 'казани', 'идёт', 'дождь']"
164,ru-RU,train,сегодня будет дождь,"['сегодня', 'будет', 'дождь']"
165,ru-RU,train,что там с погодой,"['что', 'там', 'с', 'погодой']"
166,ru-RU,train,что происходит в мире,"['что', 'происходит', 'в', 'мире']"
167,ru-RU,train,что происходит в твери,"['что', 'происходит', 'в', 'твери']"
168,ru-RU,train,покажи мне несколько новостей т.а.с.с.,"['покажи', 'мне', 'несколько', 'новостей', 'т.а.с.с.']"
169,ru-RU,train,olly покажи какие нибудь новости с b. b. c.,"['olly', 'покажи', 'какие', 'нибудь', 'новости', 'с', 'b.', 'b.', 'c.']"
170,ru-RU,train,включи новости на первом канале,"['включи', 'новости', 'на', 'первом', 'канале']"
171,ru-RU,train,olly открой hackernews,"['olly', 'открой', 'hackernews']"
172,ru-RU,train,включи немного хип хопа,"['включи', 'немного', 'хип', 'хопа']"
173,ru-RU,train,включи дэт метал,"['включи', 'дэт', 'метал']"
174,ru-RU,train,olly какую музыку я обычно люблю после работы,"['olly', 'какую', 'музыку', 'я', 'обычно', 'люблю', 'после', 'работы']"
175,ru-RU,train,olly включи музыку моего любимого пианиста,"['olly', 'включи', 'музыку', 'моего', 'любимого', 'пианиста']"
176,ru-RU,train,ты слишком громкий,"['ты', 'слишком', 'громкий']"
177,ru-RU,train,я почти тебя не слышу олли,"['я', 'почти', 'тебя', 'не', 'слышу', 'олли']"
178,ru-RU,train,переключи на синие освещение,"['переключи', 'на', 'синие', 'освещение']"
179,ru-RU,train,сделай свет ярко синим,"['сделай', 'свет', 'ярко', 'синим']"
180,ru-RU,train,olly доброй ночи выключи свет,"['olly', 'доброй', 'ночи', 'выключи', 'свет']"
181,ru-RU,train,тут жутко темно,"['тут', 'жутко', 'темно']"
182,ru-RU,train,сделай свет поярче,"['сделай', 'свет', 'поярче']"
183,ru-RU,train,olly здесь слишком темно я даже не вижу свои ладони,"['olly', 'здесь', 'слишком', 'темно', 'я', 'даже', 'не', 'вижу', 'свои', 'ладони']"
184,ru-RU,train,сколько сейчас время,"['сколько', 'сейчас', 'время']"
185,ru-RU,train,что за песня,"['что', 'за', 'песня']"
186,ru-RU,train,олли что за песня,"['олли', 'что', 'за', 'песня']"
187,ru-RU,train,что певец имел ввиду под названием песни что такое осень,"['что', 'певец', 'имел', 'ввиду', 'под', 'названием', 'песни', 'что', 'такое', 'осень']"
188,ru-RU,train,кто сделал кавер на песню я искала тебя,"['кто', 'сделал', 'кавер', 'на', 'песню', 'я', 'искала', 'тебя']"
189,ru-RU,train,какая погода в казани,"['какая', 'погода', 'в', 'казани']"
190,ru-RU,train,какая погода в екатеринбурге,"['какая', 'погода', 'в', 'екатеринбурге']"
191,ru-RU,train,каково текущее положение переговоров по курилам,"['каково', 'текущее', 'положение', 'переговоров', 'по', 'курилам']"
192,ru-RU,train,кто собирается выиграть следующие выборы в россии,"['кто', 'собирается', 'выиграть', 'следующие', 'выборы', 'в', 'россии']"
193,ru-RU,train,в воскресенье ожидается солнце,"['в', 'воскресенье', 'ожидается', 'солнце']"
194,ru-RU,train,вечером собирается пойти дождь,"['вечером', 'собирается', 'пойти', 'дождь']"
195,ru-RU,train,завтра обещают ветер,"['завтра', 'обещают', 'ветер']"
196,ru-RU,train,сделай ярче лампу рядом с диваном,"['сделай', 'ярче', 'лампу', 'рядом', 'с', 'диваном']"
197,ru-RU,train,подсвети светильник,"['подсвети', 'светильник']"
198,ru-RU,train,сколько сейчас времени в москве,"['сколько', 'сейчас', 'времени', 'в', 'москве']"
199,ru-RU,train,пропылесось кухню,"['пропылесось', 'кухню']"
200,ru-RU,train,что происходит в мире,"['что', 'происходит', 'в', 'мире']"
201,ru-RU,train,расскажи мне новости,"['расскажи', 'мне', 'новости']"
202,ru-RU,train,какой на сегодня прогноз погоды,"['какой', 'на', 'сегодня', 'прогноз', 'погоды']"
203,ru-RU,train,какая погода,"['какая', 'погода']"
204,ru-RU,train,привет что задумал,"['привет', 'что', 'задумал']"
205,ru-RU,train,как поживаешь,"['как', 'поживаешь']"
206,ru-RU,train,утро доброе как делишки,"['утро', 'доброе', 'как', 'делишки']"
207,ru-RU,train,закажи пиццу из два берега,"['закажи', 'пиццу', 'из', 'два', 'берега']"
208,ru-RU,train,я хочу суши можешь заказать мне на обед,"['я', 'хочу', 'суши', 'можешь', 'заказать', 'мне', 'на', 'обед']"
209,ru-RU,train,алекса я хочу суши закажи мне обед,"['алекса', 'я', 'хочу', 'суши', 'закажи', 'мне', 'обед']"
210,ru-RU,train,закажи на вынос сэндвич и суп в панинаро,"['закажи', 'на', 'вынос', 'сэндвич', 'и', 'суп', 'в', 'панинаро']"
211,ru-RU,train,сколько дней осталось в этом году,"['сколько', 'дней', 'осталось', 'в', 'этом', 'году']"
212,ru-RU,train,увеличь яркость на двадцать процентов,"['увеличь', 'яркость', 'на', 'двадцать', 'процентов']"
213,ru-RU,train,включи свет на полную мощность,"['включи', 'свет', 'на', 'полную', 'мощность']"
214,ru-RU,train,тихий режим,"['тихий', 'режим']"
215,ru-RU,train,мне завтра нужен будет зонт,"['мне', 'завтра', 'нужен', 'будет', 'зонт']"
216,ru-RU,train,включи умную зарядку,"['включи', 'умную', 'зарядку']"
217,ru-RU,train,расскажи новости в области технологий с хабра,"['расскажи', 'новости', 'в', 'области', 'технологий', 'с', 'хабра']"
218,ru-RU,train,счастливый,['счастливый']
219,ru-RU,train,вечер,['вечер']
220,ru-RU,train,воскресенье,['воскресенье']
221,ru-RU,train,тише,['тише']
222,ru-RU,train,тихий,['тихий']
223,ru-RU,train,хочу узнать про погоду в санкт петербурге,"['хочу', 'узнать', 'про', 'погоду', 'в', 'санкт', 'петербурге']"
224,ru-RU,train,на камчатке идёт снег,"['на', 'камчатке', 'идёт', 'снег']"
225,ru-RU,train,йоу сейчас мне нужен кофе,"['йоу', 'сейчас', 'мне', 'нужен', 'кофе']"
226,ru-RU,train,сегодня,['сегодня']
227,ru-RU,train,запусти кофе машину,"['запусти', 'кофе', 'машину']"
228,ru-RU,train,приготовь чашку кофе прямо сейчас,"['приготовь', 'чашку', 'кофе', 'прямо', 'сейчас']"
229,ru-RU,train,какой будет погода завтра,"['какой', 'будет', 'погода', 'завтра']"
230,ru-RU,train,какой прогноз погоды на завтра,"['какой', 'прогноз', 'погоды', 'на', 'завтра']"
231,ru-RU,train,снег будет завтра,"['снег', 'будет', 'завтра']"
232,ru-RU,train,узнай предлагает ли ресторан еду на вынос,"['узнай', 'предлагает', 'ли', 'ресторан', 'еду', 'на', 'вынос']"
233,ru-RU,train,узнай можно ли заказать в ресторане на вынос,"['узнай', 'можно', 'ли', 'заказать', 'в', 'ресторане', 'на', 'вынос']"
234,ru-RU,train,есть для ресторана меню блюд навынос,"['есть', 'для', 'ресторана', 'меню', 'блюд', 'навынос']"
235,ru-RU,train,двадцать девятое марта приходится на какой день,"['двадцать', 'девятое', 'марта', 'приходится', 'на', 'какой', 'день']"
236,ru-RU,train,какой мой следующий будильник,"['какой', 'мой', 'следующий', 'будильник']"
237,ru-RU,train,пожалуйста скажи мне мои будильники,"['пожалуйста', 'скажи', 'мне', 'мои', 'будильники']"
238,ru-RU,train,во сколько сегодня зазвенит мой будильник,"['во', 'сколько', 'сегодня', 'зазвенит', 'мой', 'будильник']"
239,ru-RU,train,можешь ли ты мне сказать время,"['можешь', 'ли', 'ты', 'мне', 'сказать', 'время']"
240,ru-RU,train,включи трек восемь из google play music,"['включи', 'трек', 'восемь', 'из', 'google', 'play', 'music']"
241,ru-RU,train,воспроизведи песню случайным образом из моего плейлиста,"['воспроизведи', 'песню', 'случайным', 'образом', 'из', 'моего', 'плейлиста']"
242,ru-RU,train,какая текущая дата,"['какая', 'текущая', 'дата']"
243,ru-RU,train,что происходит в новостях,"['что', 'происходит', 'в', 'новостях']"
244,ru-RU,train,я хочу чтобы ты выключил свет,"['я', 'хочу', 'чтобы', 'ты', 'выключил', 'свет']"
245,ru-RU,train,подтверди что то что ты услышишь про погоду правда,"['подтверди', 'что', 'то', 'что', 'ты', 'услышишь', 'про', 'погоду', 'правда']"
246,ru-RU,train,проверь приложение о погоде чтобы посмотреть,"['проверь', 'приложение', 'о', 'погоде', 'чтобы', 'посмотреть']"
247,ru-RU,train,сохрани эту музыку в мой плейлист,"['сохрани', 'эту', 'музыку', 'в', 'мой', 'плейлист']"
248,ru-RU,train,как насчет ты сохранишь эту музыку,"['как', 'насчет', 'ты', 'сохранишь', 'эту', 'музыку']"
249,ru-RU,train,пожалуйста включи туман сектора газа,"['пожалуйста', 'включи', 'туман', 'сектора', 'газа']"
250,ru-RU,train,открой пожалуйста мое музыкальное приложение и включи мало половин ольги бузовой,"['открой', 'пожалуйста', 'мое', 'музыкальное', 'приложение', 'и', 'включи', 'мало', 'половин', 'ольги', 'бузовой']"
251,ru-RU,train,пожалуйста включи песню кукушка виктора цоя,"['пожалуйста', 'включи', 'песню', 'кукушка', 'виктора', 'цоя']"
252,ru-RU,train,выключи свет в гараже,"['выключи', 'свет', 'в', 'гараже']"
253,ru-RU,train,проверь горячие новости из комсомольской правды,"['проверь', 'горячие', 'новости', 'из', 'комсомольской', 'правды']"
254,ru-RU,train,какие-нибудь новости про смерть из moscow times,"['какие-нибудь', 'новости', 'про', 'смерть', 'из', 'moscow', 'times']"
255,ru-RU,train,включи умную розетку,"['включи', 'умную', 'розетку']"
256,ru-RU,train,если в перми полдень то сколько времени в якутске,"['если', 'в', 'перми', 'полдень', 'то', 'сколько', 'времени', 'в', 'якутске']"
257,ru-RU,train,какая разница во времени между восточным и тихоокеанским временем,"['какая', 'разница', 'во', 'времени', 'между', 'восточным', 'и', 'тихоокеанским', 'временем']"
258,ru-RU,train,включи пора домой сектора газа,"['включи', 'пора', 'домой', 'сектора', 'газа']"
259,ru-RU,train,завтра будет тепло,"['завтра', 'будет', 'тепло']"
260,ru-RU,train,музыку пожалуйста,"['музыку', 'пожалуйста']"
261,ru-RU,train,поменяй цвет освещения в доме,"['поменяй', 'цвет', 'освещения', 'в', 'доме']"
262,ru-RU,train,можешь перемешать цвета светильников в доме,"['можешь', 'перемешать', 'цвета', 'светильников', 'в', 'доме']"
263,ru-RU,train,можешь ли ты изменить свет в доме на темный цвет,"['можешь', 'ли', 'ты', 'изменить', 'свет', 'в', 'доме', 'на', 'темный', 'цвет']"
264,ru-RU,train,какие будильники я поставил,"['какие', 'будильники', 'я', 'поставил']"
265,ru-RU,train,прочитать мне мои будильники,"['прочитать', 'мне', 'мои', 'будильники']"
266,ru-RU,train,на какое время установлены мои будильники,"['на', 'какое', 'время', 'установлены', 'мои', 'будильники']"
267,ru-RU,train,смени свет в моей комнате на синий,"['смени', 'свет', 'в', 'моей', 'комнате', 'на', 'синий']"
268,ru-RU,train,поменяй цвет света в моей комнате на какой нибудь романтичный,"['поменяй', 'цвет', 'света', 'в', 'моей', 'комнате', 'на', 'какой', 'нибудь', 'романтичный']"
269,ru-RU,train,установи будильник для меня на восемь утра,"['установи', 'будильник', 'для', 'меня', 'на', 'восемь', 'утра']"
270,ru-RU,train,создай будильник на четыре дня,"['создай', 'будильник', 'на', 'четыре', 'дня']"
271,ru-RU,train,поставь мне будильник на восемь сорок пять утра,"['поставь', 'мне', 'будильник', 'на', 'восемь', 'сорок', 'пять', 'утра']"
272,ru-RU,train,какие последние новости,"['какие', 'последние', 'новости']"
273,ru-RU,train,какие новости о сердцеедах,"['какие', 'новости', 'о', 'сердцеедах']"
274,ru-RU,train,выключи освещение в ванной,"['выключи', 'освещение', 'в', 'ванной']"
275,ru-RU,train,что там с погодой сейчас,"['что', 'там', 'с', 'погодой', 'сейчас']"
